epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,859.558,1.22546,0.82173,1.12826,0.72124,0.72545,0.79097,0.47515,1.22166,0.82323,1.19104,0.005743,0.005743,0.005743
45,878.528,1.21643,0.82954,1.12449,0.7524,0.71938,0.79858,0.47897,1.21707,0.8135,1.19682,0.005644,0.005644,0.005644
46,898.016,1.21597,0.8173,1.12786,0.74823,0.75089,0.79594,0.48258,1.21683,0.80584,1.19399,0.005545,0.005545,0.005545
47,917.731,1.22152,0.82145,1.12616,0.73735,0.76234,0.8036,0.48339,1.21497,0.80677,1.18974,0.005446,0.005446,0.005446
48,938.075,1.20508,0.8251,1.12168,0.73283,0.74039,0.79462,0.4822,1.21402,0.81074,1.19309,0.005347,0.005347,0.005347
49,957.949,1.20633,0.82017,1.12005,0.7297,0.75683,0.79269,0.48129,1.20768,0.81575,1.18154,0.005248,0.005248,0.005248
50,977.638,1.20571,0.81663,1.12153,0.71577,0.75149,0.78965,0.48095,1.2,0.81092,1.183,0.005149,0.005149,0.005149
51,997.375,1.19541,0.81403,1.1156,0.74885,0.76501,0.79952,0.48499,1.20724,0.80703,1.19142,0.00505,0.00505,0.00505
52,1016.65,1.19278,0.8228,1.11802,0.7426,0.75993,0.79716,0.4812,1.19759,0.80749,1.18378,0.004951,0.004951,0.004951
53,1035.91,1.19291,0.81415,1.11435,0.74116,0.73252,0.80204,0.48683,1.19399,0.80523,1.18348,0.004852,0.004852,0.004852
54,1055.3,1.18901,0.81198,1.11409,0.70433,0.76046,0.79826,0.48423,1.1909,0.80552,1.17564,0.004753,0.004753,0.004753
55,1074.53,1.1855,0.81788,1.11278,0.74526,0.71787,0.79103,0.48006,1.19395,0.80686,1.18257,0.004654,0.004654,0.004654
56,1093.85,1.17694,0.81371,1.10739,0.72933,0.72343,0.77963,0.47572,1.18206,0.81094,1.17468,0.004555,0.004555,0.004555
57,1113.34,1.18033,0.81162,1.11365,0.75221,0.7283,0.80004,0.48747,1.18427,0.8036,1.17251,0.004456,0.004456,0.004456
58,1134.03,1.1696,0.80639,1.10411,0.73738,0.73838,0.78938,0.48414,1.18139,0.80378,1.1702,0.004357,0.004357,0.004357
59,1153.3,1.17422,0.8142,1.1098,0.72058,0.73935,0.79242,0.48491,1.1776,0.80538,1.17296,0.004258,0.004258,0.004258
60,1173.31,1.15762,0.81015,1.1053,0.75363,0.72928,0.79805,0.48553,1.17591,0.80394,1.17509,0.004159,0.004159,0.004159
61,1193.7,1.16575,0.80952,1.10317,0.73717,0.75724,0.80231,0.49238,1.16851,0.7985,1.17222,0.00406,0.00406,0.00406
62,1213.28,1.16799,0.80891,1.10344,0.73689,0.75355,0.79078,0.48648,1.18148,0.8008,1.1763,0.003961,0.003961,0.003961
63,1232.8,1.16553,0.81018,1.1002,0.75046,0.73674,0.79534,0.48773,1.16603,0.80428,1.16981,0.003862,0.003862,0.003862
64,1251.92,1.1539,0.8091,1.10411,0.73279,0.72459,0.79208,0.4851,1.1787,0.80165,1.17109,0.003763,0.003763,0.003763
65,1271.32,1.15769,0.80571,1.09974,0.73539,0.75814,0.80045,0.48863,1.17527,0.80173,1.17687,0.003664,0.003664,0.003664
66,1290.76,1.14408,0.81007,1.10101,0.73483,0.7634,0.79399,0.48767,1.16279,0.80583,1.16932,0.003565,0.003565,0.003565
67,1310.49,1.14969,0.80427,1.09866,0.71356,0.76511,0.79342,0.4906,1.16244,0.80864,1.16617,0.003466,0.003466,0.003466
68,1329.95,1.14587,0.80498,1.09479,0.75189,0.74139,0.78921,0.48369,1.16041,0.80693,1.16838,0.003367,0.003367,0.003367
69,1349.66,1.14275,0.80203,1.08972,0.72349,0.76281,0.79121,0.48664,1.16129,0.80729,1.16897,0.003268,0.003268,0.003268
70,1369.36,1.13823,0.79579,1.09099,0.74388,0.75177,0.80548,0.49006,1.16624,0.80324,1.17158,0.003169,0.003169,0.003169
71,1388.54,1.13057,0.80052,1.08538,0.72694,0.76976,0.79396,0.48866,1.16322,0.79785,1.17213,0.00307,0.00307,0.00307
72,1408.08,1.13719,0.80238,1.09197,0.74889,0.74523,0.79872,0.48999,1.15857,0.80728,1.16681,0.002971,0.002971,0.002971
73,1427.47,1.13093,0.79268,1.08896,0.74089,0.75043,0.78407,0.48147,1.1656,0.80301,1.17075,0.002872,0.002872,0.002872
74,1446.61,1.12794,0.79634,1.08945,0.72883,0.76383,0.78866,0.48498,1.15353,0.80556,1.16608,0.002773,0.002773,0.002773
75,1465.64,1.12359,0.79581,1.08671,0.74674,0.7387,0.79748,0.49231,1.15723,0.80224,1.16617,0.002674,0.002674,0.002674
76,1484.78,1.11834,0.79644,1.08593,0.7366,0.75746,0.78887,0.48814,1.14896,0.80771,1.16505,0.002575,0.002575,0.002575
77,1504.13,1.12435,0.79339,1.08442,0.73066,0.74821,0.7895,0.48628,1.14892,0.80788,1.16347,0.002476,0.002476,0.002476
78,1523.94,1.11553,0.78979,1.08131,0.72344,0.75684,0.78709,0.48209,1.15241,0.80278,1.16553,0.002377,0.002377,0.002377
79,1543.52,1.1163,0.79529,1.08469,0.76855,0.74183,0.797,0.48686,1.15053,0.80109,1.16565,0.002278,0.002278,0.002278
80,1563.12,1.11814,0.79352,1.08699,0.76584,0.74187,0.79923,0.49155,1.14766,0.79961,1.16643,0.002179,0.002179,0.002179
81,1582.28,1.10244,0.78621,1.08066,0.74747,0.75102,0.79402,0.49031,1.14747,0.80152,1.16649,0.00208,0.00208,0.00208
