epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1681.58,1.17192,1.16722,1.39971,0.80424,0.7076,0.76798,0.49777,1.31664,1.03508,1.55156,0.005743,0.005743,0.005743
45,1719.2,1.17947,1.17081,1.40703,0.81893,0.6966,0.76452,0.49411,1.31349,1.02512,1.53985,0.005644,0.005644,0.005644
46,1756.79,1.16181,1.16049,1.39842,0.80487,0.70435,0.77457,0.50521,1.30444,1.02036,1.53324,0.005545,0.005545,0.005545
47,1794.74,1.15883,1.15754,1.39432,0.80995,0.70401,0.7722,0.50318,1.29276,1.04168,1.51244,0.005446,0.005446,0.005446
48,1832.52,1.15971,1.14748,1.38763,0.82321,0.70651,0.77847,0.50865,1.29161,1.01653,1.52468,0.005347,0.005347,0.005347
49,1870.32,1.15073,1.13364,1.3845,0.82895,0.7044,0.77977,0.50749,1.29788,0.99923,1.52622,0.005248,0.005248,0.005248
50,1907.84,1.14891,1.11738,1.38462,0.81657,0.71397,0.77888,0.50631,1.29233,1.00703,1.52655,0.005149,0.005149,0.005149
51,1945.34,1.15294,1.11895,1.38204,0.82993,0.70737,0.77933,0.5124,1.28163,0.9958,1.51105,0.00505,0.00505,0.00505
52,1983.21,1.14371,1.12807,1.3759,0.82051,0.71044,0.78039,0.51376,1.27226,0.99182,1.5061,0.004951,0.004951,0.004951
53,2020.94,1.13929,1.09824,1.36928,0.82507,0.71237,0.78023,0.5144,1.27566,0.98684,1.51039,0.004852,0.004852,0.004852
54,2058.03,1.12979,1.10491,1.3705,0.83204,0.70325,0.78248,0.51552,1.279,0.97858,1.51279,0.004753,0.004753,0.004753
55,2095.36,1.13228,1.09334,1.36704,0.81736,0.7263,0.78977,0.52116,1.27379,0.96632,1.50102,0.004654,0.004654,0.004654
56,2132.81,1.12478,1.08715,1.36752,0.81815,0.72642,0.78559,0.51918,1.26919,0.97166,1.50723,0.004555,0.004555,0.004555
57,2170.31,1.11789,1.09309,1.3633,0.82936,0.71616,0.78576,0.51792,1.26666,0.96228,1.50698,0.004456,0.004456,0.004456
58,2207.98,1.12279,1.07515,1.35933,0.82697,0.7245,0.79105,0.52159,1.27176,0.9599,1.50434,0.004357,0.004357,0.004357
59,2245.48,1.1064,1.05671,1.35111,0.83716,0.71547,0.78881,0.5242,1.26891,0.95354,1.50527,0.004258,0.004258,0.004258
