epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,242.96,1.10154,0.88262,1.3688,0.90314,0.85173,0.93145,0.61785,1.20397,0.79544,1.64129,0.005743,0.005743,0.005743
45,248.463,1.09743,0.8975,1.38039,0.91843,0.85909,0.93712,0.62857,1.20849,0.77652,1.6289,0.005644,0.005644,0.005644
46,253.834,1.08316,0.87364,1.35829,0.84867,0.84215,0.89395,0.59727,1.20899,0.8466,1.63457,0.005545,0.005545,0.005545
47,259.307,1.07017,0.87464,1.35759,0.8321,0.90906,0.92547,0.61714,1.2074,0.80835,1.63459,0.005446,0.005446,0.005446
48,264.723,1.09178,0.87262,1.35501,0.91312,0.82841,0.92549,0.62247,1.24184,0.82574,1.6476,0.005347,0.005347,0.005347
49,270.224,1.07214,0.85076,1.34754,0.90589,0.81962,0.9158,0.61377,1.2295,0.80543,1.64657,0.005248,0.005248,0.005248
50,275.587,1.05006,0.85893,1.34642,0.93325,0.84495,0.94284,0.64189,1.20343,0.78143,1.61841,0.005149,0.005149,0.005149
51,280.93,1.05797,0.83593,1.34861,0.91523,0.90089,0.94511,0.64218,1.18306,0.72631,1.61042,0.00505,0.00505,0.00505
52,286.266,1.06398,0.82856,1.33741,0.86073,0.89897,0.93345,0.62925,1.20794,0.73909,1.62667,0.004951,0.004951,0.004951
53,291.693,1.03813,0.80611,1.32693,0.92621,0.87224,0.93885,0.63979,1.19157,0.74944,1.60877,0.004852,0.004852,0.004852
54,297.047,1.01228,0.80765,1.31197,0.9183,0.86571,0.9412,0.62434,1.21871,0.76037,1.63481,0.004753,0.004753,0.004753
55,302.422,1.03364,0.81226,1.32508,0.92592,0.88568,0.94741,0.63831,1.17909,0.73789,1.59869,0.004654,0.004654,0.004654
56,307.895,0.99897,0.79081,1.31525,0.883,0.91127,0.94373,0.65504,1.15673,0.7159,1.56836,0.004555,0.004555,0.004555
57,313.46,1.01906,0.79323,1.31658,0.94481,0.86046,0.95402,0.64651,1.16059,0.6907,1.58412,0.004456,0.004456,0.004456
